source,country,country_name,product_id,product_name,product_code,search_text,emission_factor_per_meur,co2_per_meur,ch4_per_meur,n2o_per_meur,output_meur,unit,base_year,gwp_version,data_quality,tier
EXIOBASE,TW,台灣,64,Coke Oven Coke,C_COKE,焦炭 Coke Oven Coke coke 石化 台灣,2431436.3078447217,2427141.879345825,136.585274273136,1.7737389405634558,2220.80186357,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,65,Gas Coke,C_GCOK,Gas Coke 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,66,Coal Tar,C_COTA,Coal Tar 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,67,Motor Gasoline,C_MGSL,汽油 Motor Gasoline gasoline petrol 石化 台灣,179089.75156297232,178202.62053012307,23.47431641360553,0.8673591444086161,12286.7028227,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,68,Aviation Gasoline,C_AGSL,Aviation Gasoline 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,69,Gasoline Type Jet Fuel,C_GJET,Gasoline Type Jet Fuel 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,70,Kerosene Type Jet Fuel,C_KJET,Kerosene Type Jet Fuel 台灣,179089.75162505673,178202.62059190322,23.474316421655693,0.8673591447061614,2468.9667674,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,71,Kerosene,C_KERO,煤油 Kerosene kerosene 石化 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,72,Gas/Diesel Oil,C_DOIL,柴油 Gas/Diesel Oil diesel 石化 台灣,179089.75157934768,178202.6205464202,23.474316415671865,0.8673591444855538,8739.83770011,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,73,Heavy Fuel Oil,C_FOIL,Heavy Fuel Oil 台灣,179089.7516326503,178202.6205994605,23.474316422613665,0.8673591447419774,5641.68299612,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,74,Refinery Gas,C_RGAS,Refinery Gas 台灣,179089.75652439918,178202.6254669755,23.4743170638695,0.8673591684352671,75.0108335535,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,75,Liquefied Petroleum Gases (LPG),C_LPGA,液化石油氣 Liquefied Petroleum Gases (LPG) LPG 瓦斯 石化 台灣,179089.7517767791,178202.6207428744,23.474316441551483,0.8673591454387474,1484.5734841,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,76,Refinery Feedstocks,C_REFF,Refinery Feedstocks 台灣,179089.75159072856,178202.62055774702,23.47431641711165,0.8673591445373409,605.835882464,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,77,Ethane,C_ETHA,Ethane 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,78,Naphtha,C_NAPT,石腦油 Naphtha naphtha 石化 台灣,179089.75148053237,178202.62044809593,23.47431640268826,0.8673591440044348,12486.7488774,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,79,White Spirit & SBP,C_WHSP,White Spirit & SBP 台灣,179089.75202284247,178202.62098772076,23.47431647374786,0.8673591466292816,648.46964087,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,80,Lubricants,C_LUBR,潤滑油 Lubricants 機油 lubricants 石化 台灣,179089.75263866942,178202.62160049446,23.47431655453636,0.8673591496149718,195.165963192,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,81,Bitumen,C_BITU,Bitumen 台灣,179089.75233709702,178202.6213004151,23.47431651503503,0.8673591481544256,253.910042422,kg CO2e/M.EUR,2022,AR5,Medium,3
