Country,Product_Number,Product_Name,Product_Code,Output_MEUR,CO2_kg_total,CO2_kg_per_MEUR,CH4_kg_total,CH4_kg_per_MEUR,N2O_kg_total,N2O_kg_per_MEUR,Total_CO2e_kg_per_MEUR
CN,113,"Secondary copper for treatment, Re-processing of secondary copper into new copper",C_COPW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN,114,Other non-ferrous metal products,C_ONFM,107887.497313,55930522609.7,518415.23812009493,5486979.91296,50.858348275902046,924690.817969,8.570880231713176,522110.5551332242
CN,115,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",C_ONFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN,116,Foundry work services,C_METC,118579.399025,122066709765.0,1029409.0775351692,20670880.5606,174.3210096404855,1240848.74949,10.46428603697336,1037063.1016049008
CN,117,"Fabricated metal products, except machinery and equipment (28)",C_FABM,772204.23135,230210394597.0,298121.12554024276,18993483.9731,24.59645156294312,3706892.33551,4.8004040706037765,300081.9332627152
CN,118,Machinery and equipment n.e.c. (29),C_MACH,1805442.04689,58543771827.5,32426.28137986801,8161941.52974,4.520744126791283,595597.30493,0.3298900155537852,32640.28306953992
CN,119,Office machinery and computers (30),C_OFMA,767803.565927,7001206027.92,9118.485949550342,2093541.44489,2.726662831218273,57474.8702739,0.0748562169081727,9214.66940630512
CN,120,Electrical machinery and apparatus n.e.c. (31),C_ELMA,1208524.15293,12174213553.0,10073.620393505824,3768961.92294,3.118648405828183,101443.342719,0.08393985546176815,10183.186610566381
CN,121,"Radio, television and communication equipment and apparatus (32)",C_RATV,922004.813027,23036248643.5,24984.954870105874,3470615.41638,3.7642053136205984,316785.474442,0.34358331970304284,25181.402198608557
CN,122,"Medical, precision and optical instruments, watches and clocks (33)",C_MEIN,187604.604585,985632720.591,5253.776807724508,61819.5669301,0.3295205203883509,9656.06517996,0.05147029947010189,5276.643011654959
CN,123,"Motor vehicles, trailers and semi-trailers (34)",C_MOTO,851049.825727,21110979803.3,24805.80944278577,5771584.80468,6.781723737208555,187443.19232,0.22024937512898107,25054.063791836787
CN,124,Other transport equipment (35),C_OTRE,663656.30978,13841960308.3,20857.121531608078,3834428.77405,5.777732717287208,113341.365085,0.17078322531518206,21064.155602400642
CN,125,Furniture; other manufactured goods n.e.c. (36),C_FURN,778179.961642,46185301626.2,59350.41237600955,7030846.74126,9.034988161895802,324498.811571,0.41699713121151405,59713.89628431368
CN,126,Secondary raw materials,C_RYMS,84461.9101836,1163301713.08,13773.092634907973,21485.7086392,0.25438340895316247,2911.84788433,0.03447527859600071,13789.3513191866
CN,127,"Bottles for treatment, Recycling of bottles by direct reuse",C_BOTW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN,128,Electricity by coal,C_POWC,265725.303711,3098252623680.0,11659607.046868319,41014414.4478,154.348923023179,154584897.878,581.7469985700905,11818091.771334043
CN,129,Electricity by gas,C_POWG,5411.0099227,67317192134.3,12440781.49845822,41898779.1374,7743.2456668815785,99167.8869198,18.32705693326782,12662449.047218218
CN,130,Electricity by nuclear,C_POWN,7626.66367482,33274038.4061,4362.856397608921,3357.33077403,0.4402096273255734,282.878623195,0.0370907431160161,4385.011314099781
CN,131,Electricity by hydro,C_POWH,56026.559052,425132826.993,7588.0588454204535,24723.2453505,0.44127724009524816,3507.15688551,0.06259811319583089,7617.003108140016
CN,132,Electricity by wind,C_POWW,800.963762474,67948982.6416,84834.02848553425,4929.11778059,6.153983502780506,1209.22166069,1.509708325573908,85406.41272988918
CN,133,Electricity by petroleum and other oil derivatives,C_POWP,2171.78402075,2547267225.8,1172891.595785999,115997.374181,53.41110030864933,16601.660825,7.644250379587383,1176412.8329452318
CN,134,Electricity by biomass and waste,C_POWB,334.60648106,424040927.702,1267282.4697198947,251482.534382,751.5769975086208,552.931476007,1.6524828636174893,1288764.5336089947
CN,135,Electricity by solar photovoltaic,C_POWS,11.6077961883,47349373.2808,4079101.0207885527,5444.3219879,469.0228790704964,775.650051193,66.82147399993215,4109941.352012509
CN,136,Electricity by solar thermal,C_POWE,0.148517165365,12711974.7545,85592629.80315231,214180.509594,1442126.2960926024,56501.3572183,380436.54468788614,226787850.43603498
CN,137,"Electricity by tide, wave, ocean",C_POWO,1.63373682937,140570965.373,86042600.5253287,2356089.13644,1442147.2871787758,621538.231779,380439.6281001249,227239226.0128675
CN,138,Electricity by Geothermal,C_POWM,12.3667041923,7684700245.91,621402446.9587296,614667.048885,49703.384129436534,195207.965237,15784.962767892855,626977156.8478454
CN,139,Electricity nec,C_POWZ,1983.95001511,65665740374.4,33098485.281525183,3480550.4646,1754.3539091669206,1224662.97651,617.2851972997407,33311187.76826629
