Country,Product_Number,Product_Name,Product_Code,Output_MEUR,CO2_kg_total,CO2_kg_per_MEUR,CH4_kg_total,CH4_kg_per_MEUR,N2O_kg_total,N2O_kg_per_MEUR,Total_CO2e_kg_per_MEUR
KR,98,"Secondary glass for treatment, Re-processing of secondary glass into new glass",C_GLAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,99,Ceramic goods,C_CRMC,3189.22285267,719846821.705,225712.29887630718,85636.6528187,26.85188736403461,18676.176029,5.856027280553445,228015.99895184682
KR,100,"Bricks, tiles and construction products, in baked clay",C_BRIK,109.490147748,2314261997.89,21136714.539982647,46495.5928987,424.6554950835685,50660.2264672,462.69210069748385,21271218.300529823
KR,101,"Cement, lime and plaster",C_CMNT,12808.470907,9975946799.02,778855.4052590315,309472.554628,24.161553465282818,200788.816565,15.676251913510317,783686.1355131397
KR,102,"Ash for treatment, Re-processing of ash into clinker",C_ASHW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,103,Other non-metallic mineral products,C_ONMM,14912.7761982,7719227437.99,517625.1112064382,396013.382765,26.555309186011897,167861.335908,11.256209687386121,521351.55543080386
KR,104,Basic iron and steel and of ferro-alloys and first products thereof,C_STEL,179575.348985,28920353503.0,161048.57190290483,4968837.07101,27.66992852356951,554833.816702,3.089699225634502,162642.10019635793
KR,105,"Secondary steel for treatment, Re-processing of secondary steel into new steel",C_STEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,106,Precious metals,C_PREM,5296.25884916,297792564.991,56226.96576437737,71006.705522,13.406955276225188,5790.11931428,1.0932470408236048,56892.07097792993
KR,107,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",C_PREW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,108,Aluminium and aluminium products,C_ALUM,8673.57009522,304922055.451,35155.311146795524,125091.687207,14.422168246030312,5600.44597828,0.6456909803918461,35730.23996748821
KR,109,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",C_ALUW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,110,"Lead, zinc and tin and products thereof",C_LZTP,5016.36379003,193312370.594,38536.35395786236,61376.227119,12.23520256664498,1585.87330143,0.316140010535503,38962.716732520326
