emission_factor_id,source_database,category_code,category_name_en,category_name_zh,activity_type_en,activity_type_zh,scope3_category,unit,emission_factor,co2_emission,ch4_emission,n2o_emission,geographic_scope,year,tier_level,data_quality,gwp_version,source_url,license,notes,search_text
LEGACY_FOOTPRINTCALC_006387,FootprintCalc,OREGON_PINE_NATURAL_FOREST_505_KG/M3,Oregon Pine natural forest 505 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,0.164,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Oregon Pine natural forest 505 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006388,FootprintCalc,OXIGEN_LIQUID,"Oxigen, liquid",,Materials & Chemicals,,1,kg CO2e/kg,0.346,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Oxigen, liquid Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006389,FootprintCalc,OZIGO/IGAGANGA_FSC/PEFC_650_KG/M3,Ozigo/Igaganga FSC/PEFC 650 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,0.234,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Ozigo/Igaganga FSC/PEFC 650 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006390,FootprintCalc,OZIGO/IGAGANGA_NATURAL_FOREST_650_KG/M3,Ozigo/Igaganga natural forest 650 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,3.684,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Ozigo/Igaganga natural forest 650 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006391,FootprintCalc,PA_NYLONS_CHEMICAL_UPCYCLED,PA (Nylons) chemical upcycled,,Materials & Chemicals,,1,kg CO2e/kg,5.017,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,PA (Nylons) chemical upcycled Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006392,FootprintCalc,PA_NYLONS_POLYAMIDES_CO-FIRING_IN_ELECTRICAL_PO,"PA (Nylons, Polyamides) co-firing in electrical power plant",,Materials & Chemicals,,1,kg CO2e/kg,0.127,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"PA (Nylons, Polyamides) co-firing in electrical power plant Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006393,FootprintCalc,PA_NYLONS_POLYAMIDES_WASTE_COMBUSTION_CLEAN_TE,"PA (Nylons, Polyamides) waste combustion, clean tech, without heat recovery",,Materials & Chemicals,,1,kg CO2e/kg,2.47,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"PA (Nylons, Polyamides) waste combustion, clean tech, without heat recovery Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006394,FootprintCalc,PA_NYLONS_POLYAMIDES_WASTE_INCINERATION_WITH_EL,"PA (Nylons, Polyamides) waste incineration with electricity",,Materials & Chemicals,,1,kg CO2e/kg,1.181,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"PA (Nylons, Polyamides) waste incineration with electricity Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006395,FootprintCalc,PA_NYLONS_POLYAMIDES_CLOSED_LOOP_CHEMICAL_UPCY,"PA (nylons, polyamides), closed loop chemical upcycling cred",,Materials & Chemicals,,1,kg CO2e/kg,0.497,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"PA (nylons, polyamides), closed loop chemical upcycling cred Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006396,FootprintCalc,PA_6_NYLON_6_POLYAMIDE_6,"PA 6 (Nylon 6, Polyamide 6)",,Materials & Chemicals,,1,kg CO2e/kg,4.52,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"PA 6 (Nylon 6, Polyamide 6) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
