Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
GX5CrNi19 10 (CF8) 23% inox scrap (China),kg,7.111,3.47,#VALUE!
GX5CrNi19 10 (CF8) 44% inox scrap (World),kg,5.673,2.63,#VALUE!
"GX5CrNi19 10 (CF8) 70% inox scrap (EU, USA)",kg,3.974,1.64,#VALUE!
"Gypsum, from exhaust gas desulferization",kg,0.011,0,Waste from exhaust gas desulferization of coal power plants; transport in the region included (150 km)
G-ZnAlCu,kg,4.044,2.5,mix of the Idemat data of the basic metals + extra melting energy
"H2O2, hydrogen peroxide, 70% in H2O",kg,0.534,0.08,EPD Akzo
HA,kg,3.303,1.39,mix of the Idemat data of the basic metals
Hafnium,kg,310.229,337.75,"Busmuth is 80% produced in China (2022 Wikipedia) perdominantly as a co-product of Tungsten, "
Ham and bacon fresh,kg,2.771,1.88,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
"Hardwood 0% MC, Bamboo, Cork, co-firing in electrical power",kg,-1.67,-0.23,credits for the delivered energy -20.5 MJth gas
"Hardwood 0% MC, Bamboo, Cork, combustion in small elec. powe",kg,-1.169,-0.16,credits for the delivered energy -14.35 MJth gas
"Hardwood 0%MC, Bamboo, Cork, waste incineration with electri",kg,-0.918,-0.12,credits for the delivered energy -11.27 MJth gas
"Hardwood 12% MC, Bamboo, Cork, co-firing in electrical power",kg,-1.442,-0.2,credits for the delivered energy -17.7 MJth gas
"Hardwood 12% MC, Bamboo, Cork, combustion in small elec. pow",kg,-1.01,-0.13,credits for the delivered energy -12.4 MJth gas
"Hardwood 12%MC, Bamboo, Cork, waste incineration with electr",kg,-0.793,-0.1,credits for the delivered energy -9.73 MJth gas
"Hardwood, fresh, 50% MC, Bamboo, Cork, co-firing in electric",kg,-0.731,-0.09,credits for the delivered energy -8.97 MJth gas
"Hardwood, fresh, 50% MC, Bamboo, Cork, combustion in small e",kg,-0.512,-0.06,credits for the delivered energy -6.28 MJth gas
"Hardwood, fresh, 50%MC, Bamboo, Cork, waste incineration wit",kg,-0.399,-0.04,credits for the delivered energy -4.9 MJth gas
HCL (hydrochloric acid),kg,0.183,0.09,data from Plastics Europe LCI database
Heat from anthracite coal (33 MJ/kg),MJ,0.108,0.05,"calculated from Idemat2023 Anthracite coal (33 MJ/kg), including combustion"
Heat from coal (bituminous 26.4 MJ/kg),MJ,0.111,0.03,"calculated from Idemat2023 Bituminous coal (26.4 MJ/kg), US, including combustion"
Heat from heavy oil for chemical processes,MJ,0.103,0.02,"copy ELCD Process steam from Heavy fuel oil, heat plant, consumption mix, at plant, MJ, EU"
Heat from natural gas for chemical processes,MJ,0.081,0.01,"copy ELCD Process steam from natural gas, heat plant, consumption mix, at plant, MJ EU-27"
heat setting and washing synthetic fabrics,kg,1.133,0.21,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
Heavy fuel oil for heat including combustion CO2,kg,3.596,0.51,"from midpoints calculation from ""ELCD with small corrections"" (calculation in Open LCA)"
Heavy fuel oil in transport (including combustion CO2),kg,3.596,0.94,"from midpoints calculation from ""ELCD with small corrections"" (calculation in Open LCA)"
Hemlock FSC/PEFCt 490 (kg/m3),kg,0.339,0.08,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Herring fillet frozen,kg,12.729,3.42,Danisch food study update by Delft University of Technology
Herring fresh,kg,6.173,1.67,Danisch food study update by Delft University of Technology
Hickory FSC/PEFCt 800 (kg/m3),kg,0.221,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Hornbean FSC/PEFC 750 (kg/m3),kg,0.199,0.04,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Horse chestnut FSC/PEFC 450 (kg/m3),kg,0.199,0.04,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Hot-dip Zinc plating, pieces, outside use",m2,6.953,2.09,"65 muicro requires aprox 0.5 kg Zn per m2 surface, plus 30 MJ electricity"
HT,kg,8.354,10.07,mix of the Idemat data of the basic metals
"Hydrochloric acid (do not use, use A.030.02.101. of plastic",kg,12.563,2.37,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Hydro-electric power (Norway),MJ,0.002,0,copy ELCD
Hydrogen cyanide from propylene ammoxidation,kg,3.762,0.79,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Hydrogen from Reppe process,kg,4.689,0.76,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Hydrogen peroxide,kg,2.449,0.36,#VALUE!
Hydrogen Sulfide,kg,0.914,0.14,0
"Hydrogen, methane to hydrogen (SMR)",kg,11.767,1.77,recalculated from USLCI
"Hylite (1 m2, 1.2 mm thickness, 1.8 ton/m3)",m2,12.748,4.77,LCA for the production of 1m2 Alum./PP laminate 1.2mm thickness in the Netherlands. Aluminium 0.2mm.Average weight = 1.8 kg/m2. 
"IC die (not packaged), 1 mm2 = 1.8 mg (laptop 850 mg)",kg,32611.306,"6,024.56","Paul Teehan, Milind Kandlikar, Life cycle assessment studies of tablet PCs, background document, University of Britisch Colombia"
IC package (laptop: 21 g),kg,1340.402,247.62,"Paul Teehan, Milind Kandlikar, Life cycle assessment studies of tablet PCs, background document, University of Britisch Colombia"
Iceberg lettuce fresh,kg,0.095,0.03,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Idigbo FSC/PEFC 550 (kg/m3),kg,0.243,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Idigbo natural forest 550 (kg/m3),kg,3.693,4.98,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Ilomba FSC/PEFC 480 (kg/m3),kg,0.264,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Ilomba natural forest 480 (kg/m3),kg,3.714,6.92,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Incense cedar FSC/PEFC 385 (kg/m3),kg,0.367,0.09,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Indium, CRM (EoL-RIR= 0%)",kg,149.197,772.33,"ProBas, Umwelt Bundesambt"
"Industrial Heat, General",MJ,0.092,0.02,50% Idemat2023 Heat from natural gas for chemical processes + 50% Idemat2023 Heat from heavy oil for chemical processes
industrial reverse osmosis water europe,kg,0.009,0,copy ELCD
"injection moulding, machine only",kg,0.458,0.08,0
"injection moulding, production site",kg,1.167,0.2,0
Invar,kg,8.849,10.37,mix of the Idemat data of the basic metals + extra melting energy
Ionomer,kg,11.582,3.24,energy from CESedupack
Ionomer co-firing in electrical power plant,kg,0.097,-0.01,calculations based on CES edupack
"Ionomer waste combustion, clean tech, without heat recovery",kg,3.14,0.45,0
Ionomer waste incineration with electricity,kg,1.467,0.2,calculations based on CES edupack
"Ionomer, chemical upcycled",kg,11.828,2.5,#VALUE!
"Ionomer, closed loop chemical upcycling credit",kg,0.246,-0.74,#VALUE!
IR (polyisoprene rubber),kg,2.668,1.37,"Litt. Batten, R.; Karanjikar, M.; Spatari, S. Bio-Based Polyisoprene Can Mitigate Climate Change and Deforestation in Expanding Rubber Production. Fermentation 2021, 7, 204. https://doi.org/10.3390/fermentation 7040204. See Table 5 and Fig. 5"
IR (Polyisoprene rubber) co-firing in electrical power plant,kg,-0.369,-0.07,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"IR (Polyisoprene rubber) waste combustion, clean tech, without heat recovery",kg,3.24,0.47,0
IR (Polyisoprene rubber) waste incineration with electricity,kg,1.254,0.17,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Iroko FSC/PEFC 650 (kg/m3),kg,0.25,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Iroko natural forest 650 (kg/m3),kg,3.7,5.24,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Isobutyl acetate,kg,3.837,0.61,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Isopropyl acetate,kg,4.658,0.76,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"Jute fibre trade mix, degummed",kg,3.808,0.81,"copy Idemat2023 Jute fibre trade mix (Rahman and Bala 2009), plus for degumming University of Leuven: Van Eynde, H. ""Comparative Life Cycle Assement of hemp and cotton fibres use in Chineese textile manufacturing"" 2015"
"Jute fibre, India, irrigation, degummed",kg,3.808,1.48,"copy Idemat2023 Jute fibre, India, irrigation, plus (Rahman and Bala 2009, plus for degumming University of Leuven: Van Eynde, H. ""Comparative Life Cycle Assement of hemp and cotton fibres use in Chineese textile manufacturing"" 2015"
"Jute fibre, India, rain fed, degummed with renewable fuel",kg,3.977,0.82,"copy Idemat2023 Jute fibre, India, rain fed (Rahman and Bala 2009), plus for degumming University of Leuven: Van Eynde, H. ""Comparative Life Cycle Assement of hemp and cotton fibres use in Chineese textile manufacturing"" 2015"
"Jute fibres, not degummed, Bangladesh",kg,0.965,0.23,Rahman and Bala 2009. Ecological and environmental sustainability of jute production systems in Bangladesh: life cycle assessment
"Jute fibres, not degummed, Bangladesh, rainfed",kg,0.965,0.18,Rahman and Bala 2009. Ecological and environmental sustainability of jute production systems in Bangladesh: life cycle assessment
"Jute fibres, not degummed, India",kg,0.965,0.68,Rahman and Bala 2009. Ecological and environmental sustainability of jute production systems in Bangladesh: life cycle assessment
"Jute fibres, not degummed, India, rainfed",kg,0.965,0.24,Rahman and Bala 2009. Ecological and environmental sustainability of jute production systems in Bangladesh: life cycle assessment
"Jute fibres, not degummed, trade mix",kg,0.965,0.28,Rahman and Bala 2009. Ecological and environmental sustainability of jute production systems in Bangladesh: life cycle assessment
Kale fresh,kg,0,0,copy agri-footprint
Kauri FSC/PEFC 485 (kg/m3),kg,0.353,0.09,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Kauri natural forest 485 (kg/m3),kg,3.803,10.65,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Kenaf fibre, India, degummed",kg,2.753,0.88,"copy Idemat2023 Kenaf fibre, India (Ardente F. et al., 2008),  plus for degumming University of Leuven: Van Eynde, H. ""Comparative Life Cycle Assement of hemp and cotton fibres use in Chineese textile manufacturing"" 2015"
"Kenaf fibre, Italy, degummed with renewable fuel",kg,1.343,0.61,"copy Idemat203 Kenaf fibre, Italy (Ardente F. et al., 2008),  plus for degumming University of Leuven: Van Eynde, H. ""Comparative Life Cycle Assement of hemp and cotton fibres use in Chineese textile manufacturing"" 2015"
"Kenaf fibres, not degummed, India",kg,0.333,0.32,"Ardente F. et al., 2008. Energy and Buildings 40 pp 1-10"
"Kenaf fibres, not degummed, Italy",kg,0.333,0.28,"Ardente F. et al., 2008. Energy and Buildings 40 pp 1-10"
Kerosene (excluding combustion),kg,0.398,0.52,"copy ELCD, but water removed because of high unaccuracies"
Kerosene including combustion CO2,kg,3.538,0.94,"copy Idemat2022 Kerosene (excluding combustion), CO2 added"
Kiwi (Italy) excl transport,kg,0.183,0.13,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
knitting 200 dtex,kg,0.103,0.02,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
knitting 300 dtex,kg,0.069,0.01,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
knitting 83 dtex,kg,0.251,0.04,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
"KOH, Potassium hydroxide",kg,1.784,0.32,estimate on energy
Kotibe FSC/PEFCt 760 (kg/m3),kg,0.233,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Kotibe natural forest 760 (kg/m3),kg,3.683,3.73,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Koto FSC/PEFC 560 (kg/m3),kg,0.242,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Koto natural forest 560 (kg/m3),kg,3.692,4.88,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"landfill (inert waste, not biodegradable)",kg,0,0.14,see calculation of eco-costs of inert landfill (revealed preference within the EU) https://www.ecocostsvalue.com/eco-costs/eco-costs-resource-scarcity/
landfill organic waste without CH4 emission prevention,kg,2.241,0.3,0
Lanthanum,kg,22.392,119.16,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
Larch FSC/PEFC 600 (kg/m3),kg,0.233,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"LCD flat screen, 27 inch, including casing and electronics",p,336.807,52.36,#VALUE!
Lead (primary),kg,1.892,2.34,#VALUE!
Lead (secondary),kg,0.608,0.1,#VALUE!
Lead battery cars (39 Wh per kg),kg,0.847,0.53,1680 Wh = 44 kg. Specific battery for cars (data manufacturer)
Lead trade mix ( 20% prim 80% sec),kg,0.865,0.55,JRC report : Towards recycling indicators based on EU flows and raw materials analysis system data. 2018
"Lead, recycling credit closed loop (25% virgin part in trad",kg,-0.321,-0.56,#VALUE!
Leather processed with Chromium III,m2,4.215,0.66,LCA for leather (chromium process). Hides assumed to be a byproduct  of milk and meat production without significant value. Average  data for the Netherlands. Input 989 kg food and 0.56 ha grassland per cow. 
Leather processed with Chromium VI,m2,4.215,0.73,LCA for leather (chromium process). Hides assumed to be a byproduct  of milk and meat production without significant value. Average  data for the Netherlands. Input 989 kg food and 0.56 ha grassland per cow. 
LED light bulb 8 watt.,p,14.482,3.53,"osram PARATHOM CLASSIC A 345 lumen, 8 watt"
Lentils canned,kg,1.411,0.31,copy agri-footprint
Lettuce fresh,kg,0.105,0.04,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
"Lettuce fresh, greenhouse",kg,3.738,0.64,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
"LiFePO4 (lithium iron phosphate, LFP)",kg,8.8,3.13,0
Lignite at open pit mine (excluding combustion),kg,0.045,0.01,midpoints calculated from ELCD 
Limba FSC/PEFC 560 (kg/m3),kg,0.242,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Limba natural forest 560 (kg/m3),kg,3.692,4.88,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Lime,kg,0.604,0.13,LCI data from SPINE project of Chalmers University
"Lindane (Hexachlorocyclohexane, or benzene hexachloride, BHC",kg,3.456,0.57,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Linde FSC/PEFC 540 (kg/m3),kg,0.199,0.04,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Linear alkylbenzene sulphonic acid,kg,1.736,0.26,#VALUE!
Linoleum,kg,1.59,0.88,"Data from ""Produktie van linoleum"", nr 773006142, RIVM, 1993. Linoleum is made from linseedoil, natural resin and Tall oil,  still valid"
Linseed produced in region,kg,0.286,0.16,Agricultural production is part of production system. Delft University of Technology based on Dutch Industry
"Linuron (3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea)",kg,8.799,1.46,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Lithium (EoL-RIR = 0%),kg,18.344,9.26,"ProBas, Umwelt Bundesambt"
"Lithium LiFePO4 (145 Wh per kg, incl packaging, excl electro",kg,8.135,2.81,#VALUE!
"Lithium NMC 811 (215 Wh per kg, incl packaging, excl electro",kg,12.026,9.5,#VALUE!
Lithium-ion LiCoO2 laptop battery (180 Wh/kg),kg,79.398,29.65,"this is the classical battery for smartphones, extra energy required is estimated. Gao SW et al 2018 Energy consumption and cabon emission analysis of natural graphite anode material for lithium batteries Science Forum Vol 913 pp 985-990"
LNG including combustion CO2,kg,3.911,1.02,0
LPG for chemical feedstock,kg,0.35,0.11,Co-product of refinery process. Equal assumed to  the production of general refinery products (i.e. energy allocation). Own research Delft University of Technology
LPG for transport (excluding combustion),kg,0.35,0.54,Co-product of refinery process. Equal assumed to  the production of general refinery products (i.e. energy allocation). Own research Delft University of Technology
LPG for transport including combustion,kg,3.36,0.94,Co-product of refinery process. Equal assumed to  the production of general refinery products (i.e. energy allocation). Own research Delft University of Technology
LPG including combustion CO2,m3,1714.335,480.67,0
Machining aluminium,kg,0.066,0.01,"Machining aluminium, milling, drilling, turning etc; energy per kilogram removed material"
Mackerel fillet frozen,kg,12.734,3.42,Danisch food study update by Delft University of Technology
Mackerel fresh,kg,6.169,1.67,Danisch food study update by Delft University of Technology
"Magnesium, CRM (primary)",kg,26.479,4.1," 26 kg CO2 per kg Mg at natural gas, results in 312 MJgas/kg. Simone Ehrenberger. Update  of  Life  Cycle  Assessment  of  Magnesium  Components  in Vehicle Construction. 2020. German Aerospace Center e.V. "
"Magnesium, CRM (secondary)",kg,0.494,0.08,"0.45 kg CO2 per kg Mg at natural gas, results in 5.4 MJgas/kg. Simone Ehrenberger. Update  of  Life  Cycle  Assessment  of  Magnesium  Components  in Vehicle Construction. 2020. German Aerospace Center e.V. "
"Magnesium, CRM, trade mix (93% prim 7% sec)",kg,24.66,3.82,JRC report : Towards recycling indicators based on EU flows and raw materials analysis system data. 2018
"Magnesium, recycling credit closed loop (90% virgin part in",kg,-23.386,-3.62,#VALUE!
Mahogany FSC/PEFC 1110 (kg/m3),kg,0.229,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Mahogany natural forest 1110 (kg/m3),kg,3.679,3.82,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Mahogany, African FSC/PEFC 640 (kg/m3)",kg,0.244,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Mahogany, African natural forest 640 (kg/m3)",kg,3.694,8.14,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Makore FSC/PEFC 660 (kg/m3),kg,0.24,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Makore natural forest 660 (kg/m3),kg,3.69,5.15,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Malathion (Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]but,kg,8.692,1.44,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Maleic acid,kg,0.35,0.11,0
Maneb ( [[2-[(Dithio Carboxyl)amino]ethyl]carbodithioate]](2,kg,4.266,0.72,0
Manganese (EoL_RIR= 9%),kg,2.525,1.13,"data LCA from ProBas, Umwelt Bundesambt, recycle rate EoL-RIR from erostat data or report JRC, Towards Recycling Indicators based on EU flows and Raw Materials System Analysis data. 2018"
Manganese dioxide,kg,0.713,0.55,less energy than manganese
Mansonia FSC/PEFC 620 (kg/m3),kg,0.246,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Mansonia natural forest 620 (kg/m3),kg,3.696,5.95,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
MAP Carbon Dioxide gas at 1 bar 0 degr C,m3,0.95,0.15,"calculated from Idemat2023 Carbon dioxide, liquid"
MAP Nitrogen gas at 1 bar 0 degr C,m3,0.298,0.05,"calculated from Idemat2023 Nitrogen, liquid"
MAP Oxygen gas at 1 bar 0 degr C,m3,0.494,0.09,"calculated from Idemat2023 Oxigen, liquid"
Massaranduba FCS/PEFC 1200 (kg/m3) wet,kg,0.226,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Massaranduba natural forest 1200 (kg/m3) wet,kg,3.245,3.49,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
MCPA (2-methyl-4-chlorophenoxyacetic acid),kg,6.008,1.01,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
MDF at factury gate,kg,0.628,0.17,Litt. Puettmann et al. 2013. Cradle to Gate Life Cycle Assessment of U.S. Medium Density Fiberboard Production.
MDI (Methylene diphenyl diisocyanate),kg,2.76,1.06,"Plastics Europe LCI database, waterdeleted because of inaccuracies"
MDI co-firing in electrical power plant,kg,0.359,0.03,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"MDI waste combustion, clean tech, without heat recovery",kg,2.64,0.37,0
MDI waste incineration with electricity,kg,1.385,0.19,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Mechanical recycled pellets (rPET, rPE, rPP, rPVC), downcycl",kg,0.552,0.1,drying and extruding to plastic pellets energy plus transport
Melon (France) excl transport,kg,0.057,0.03,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Menkulang FSC/PEFC 710 (kg/m3),kg,0.293,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Menkulang natural forest 710 (kg/m3),kg,3.743,4.82,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Meranti FSC/PEFC 640 (kg/m3),kg,0.312,0.08,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Meranti natural forest 640 (kg/m3),kg,3.762,8.16,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Merbau FSC/PEFC 800 (kg/m3),kg,0.287,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Merbau natural forest 800 (kg/m3),kg,3.737,6.64,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Mercury (virgin),kg,115.363,"4,670.06","ProBas, Umwelt Bundesambt"
Mersawa FSC/PEFC 640 (kg/m3),kg,0.305,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Mersawa natural forest 640 (kg/m3),kg,3.755,5.3,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Metals open loop recycling credit,kg,0,0,#VALUE!
Methanol,kg,0.947,0.17,0
"Methoxychlor (1,1'-(2,2,2-Trichloroethane-1,1-diyl)bis(4-met",kg,4.568,0.73,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Methyl acetate,kg,1.016,0.19,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Methyl ethyl ketone,kg,1.016,0.19,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Methyl formate,kg,2.554,0.46,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"Methyl parathion (O,O-Dimethyl O-4-nitrophenyl phosphorothi",kg,6.627,1.09,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Methylamine,kg,3.652,0.68,0
