Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
"Acetylated Scots pine = durable wood, s.g. 540 kg/m3 (Nether",kg,-0.241,0.09,"Norwegian EPD of Accoya, case ""system expansion"" https://www.accoya.com/app/uploads/2020/05/Environmental-Product-Declaration-%E2%80%93-cladding-decking-planed-timber-%E2%80%93-EN-15804.pdf"
Acetylene (Ethyne),kg,1.64,0.26,0
Acryl (100% Acrylonitrile) polymer pellet production,kg,3.307,1.25,copy Idemat2023 Acrylonitrile
Acrylonitrile,kg,3.307,0.63,"data from Plastic Europe, with small correction on ecotoxicity"
Acrylonitrile from propylene ammoxidation,kg,3.755,0.79,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Adipic acid,kg,3.958,0.66,0
Afrormosia FSC/PEFC 700 (kg/m3),kg,0.239,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Afrormosia natural forest 700 (kg/m3),kg,3.689,5.32,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Afzelia FCS/PEFC 820 (kg/m3),kg,0.231,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Afzelia natural forest 820 (kg/m3),kg,3.681,6.49,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Agba FSC/PEFC 500 (kg/m3),kg,0.261,0.06,for dCA880+CA903:CA923+CA880+CA903:CA923+CA903:CA925+CA880+CA903:CA923+CA903:CA924+CA903:CA925+CA903:CA927+CA903:CA925+CA903:CA926+CA903:CA925+CA903:CA923+CA903:CA903:CA923
Agba natural forest 500 (kg/m3),kg,3.711,10.34,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Ahorn FSC/PEFC 640 (kg/m3),kg,0.275,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Air traffic continental (max weight/volume ratio 0,167 ton/m",m3km,0.237,0.06,"Fokker 100, kerosine for a distance of 2000 km"
"Air traffic continental (min weight/volume ratio 0,167 ton/m",tkm,1.415,0.38,"Fokker 100, kerosine for a distance of 2000 km"
"Air traffic intercontinental (max weight/volume ratio 0,167",m3km,0.097,0.03,"Boeing 747, 400F kersonine for a distance of 9000 km"
"Air traffic intercontinental (min weight/volume ratio 0,167",tkm,0.578,0.17,"Boeing 747, 400F kersonine for a distance of 9000 km"
"AKD (Alkyl ketene dimers) waste combustion, clean tech, without heat recovery",kg,0,0.02,0
AKD (Alkyl ketene dimers) waste incineration with electricity,kg,-1.849,-0.26,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Al99,kg,6.801,2.15,mix of the Idemat data of the basic metals
"Alachlor (2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)ac",kg,11.106,1.84,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
AlCuMg1 (2017),kg,7.04,2.27,mix of the Idemat data of the basic metals + extra melting energy
AlCuMg2 (2024),kg,7.189,2.29,mix of the Idemat data of the basic metals + extra melting energy
AlCuMgPb (2011),kg,7.162,2.36,mix of the Idemat data of the basic metals + extra melting energy
AlCuSiMg (2036),kg,6.992,2.24,mix of the Idemat data of the basic metals + extra melting energy
