Product,Category,Total kg CO2e/kg,Data sources
Egg salad,Seasonings and spices,1.56,Data on inputs and outputs of the food processing industry is modelled using: Allrecipes (2020); ADEME (2020d).
"Pork, meatballs",Meat and poultry,3.62,Data on inputs and outputs of the food processing industry is modelled using: Clausen I (2000); DEFRA (2009); ADEME (2020c).
"Hummus, done",Legumes and legume products,1.83,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020e); Hetherington et al. (2012).
"Lasagne, vegan, ready meals",Ready meals,1.44,Data on inputs and outputs of the food processing industry is modelled using: DEFRA (2009); Puck (2020); Pequerecetas (2020).
"Pancakes, ready meals",Ready meals,2.39,Data on inputs and outputs of the food processing industry is modelled using: Open Food facts (2020ah);Sweetest Menu (2020); Konstantas et al. (2019).
Potato gratin / cream potatoes,Vegetables and vegetable products,1.09,Data on inputs and outputs of the food processing industry is modelled using: Valdemarsro (2020b); BilkaToGo (2020c); Carlsson-Kanyama and Faist (2000); ADEME (2020r); ADEME (2020d).
"Oksekød, kebab",Meat and poultry,44.05,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020q); ADEME (2020c).
"Icetea, peach, tetra brik",Beverages,0.87,Data on inputs and outputs of the food processing industry is modelled using: Amienyo et al. (2012); Nemlig (2020j).
"Energy drink, canned",Beverages,0.55,Data on inputs and outputs of the food processing industry is modelled using: Amienyo et al. (2012); Higgins et al. (2010); Open Food Facts (2020c); Aqua-Calc (2020a).
"Alcoholic soda, 4% vol.","Wine, beer and spirits",0.76,Data on inputs and outputs of the food processing industry is modelled using: Amienyo et al. (2012); USDA (2020a).
"Salsa, hot",Seasonings and spices,1.38,Data on inputs and outputs of the food processing industry is modelled using: A spicy perspective (2020); Andersson et al. (1998).
"Tortilla bread, wheat",Bread and bakery products,0.94,Data on inputs and outputs of the food processing industry is modelled using: Espinoza-Orias et al. (2011).
Pizzasauce,Vegetables and vegetable products,1.83,Data on inputs and outputs of the food processing industry is modelled using: Joy Food Sunshine (2020); Andersson et al. (1998).
Pastasauce,Vegetables and vegetable products,1.83,Data on inputs and outputs of the food processing industry is modelled using: Joy Food Sunshine (2020); Andersson et al. (1998).
Coconut milk,Vegetables and vegetable products,5.44,Data on inputs and outputs of the food processing industry is modelled using: Zah and Hischier (2007); Carlsson-Kanyama and Faist (2000); World bank (1986).
"Garlic baguette, frozen",Bread and bakery products,1.33,Data on inputs and outputs of the food processing industry is modelled using: Espinoza-Orias et al. (2011).
"Muesli bar, chocolate",Cereals and cereal products,2.82,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020s).
Cup noodles chicken,Ready meals,1.6,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020ai).
Sliced mushrooms,Mushrooms and mushroom products,0.31,Data on inputs and outputs of the food processing industry is modelled using: Carlsson-Kanyama and Faist (2000); ADEME (2020f); ADEME (2020g).
Microwave popcorn,Cereals and cereal products,1.84,"Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product, see comments field."
"Thai meal panang curry chicken, ready meal",Ready meals,3.37,"Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020aj); DEFRA (2009)
."
"French fries, frost",Vegetables and vegetable products,0.75,Data on inputs and outputs of the food processing industry is modelled using: Carlsson-Kanyama and Faist (2000); Milà i Canals L et al. (2008).
Pancake puffs,Bread and bakery products,1.49,Data on inputs and outputs of the food processing industry is modelled using: Nordic Food Living (2019); Konstantas et al. (2019).
"Chickpeas, canned",Legumes and legume products,1,Data on inputs and outputs of the food processing industry is modelled using: Miller (2017).
"Green beans, haricot verts, frozen",Vegetables and vegetable products,1.72,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2008).
