Product,Category,Total kg CO2e/kg,Data sources
Magarine,Plant products and drinks,2.88,Data on inputs and outputs of the food processing industry is modelled using: Nilsson et al. (2010); DTU (2019).
Vegan bacon,Plant products and drinks,0.24,Data on inputs and outputs of the food processing industry is modelled using: Wheaty (2020); Hetherington et al. (2012).
Vegan fillet pieces,Plant products and drinks,1.98,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020h); ADEME (2020c); Hetherington et al. (2012).
Falafel mince,Plant products and drinks,1.83,"Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020q); ADEME (2020d)
."
Pea drink,Plant products and drinks,0.55,"Data on inputs and outputs of the food processing industry is modelled using: SIK (2013); Open food Facts (2020r)
."
Portobello mushroom,Mushrooms and mushroom products,0.26,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Food grain, kamut",Cereals and cereal products,1.54,"Data on inputs and outputs of the food processing industry is modelled using: Blengini A, Busto M (2009) The life cycle of rice: LCA of alternative agri-food chain management systems in Vercelli (Italy). J Environ Manage 90(3):1512–1522."
Chili Sauce,Seasonings and spices,1.94,Data on inputs and outputs of the food processing industry is modelled using: Blue Dragon (2020); Andersson et al. (1998).
Red onion,Vegetables and vegetable products,0.7,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Basil, fresh",Vegetables and vegetable products,0.33,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Basil, dried",Seasonings and spices,7.34,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
Cold buttermilk soup,"Milk, dairy products and eggs",0.96,Data on inputs and outputs of the food processing industry is modelled using: BilkaToGo (2020e); Arla (2020c); Hospido et al. (2003); Djekic et al. (2014); González-García et al. (2013b).
"Beef, low fat ",Meat and poultry,43.21,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
"Pork, grilled sausages",Meat and poultry,2.13,Data on inputs and outputs of the food processing industry is modelled using: Davis and Sonesson (2008).
"Apple juice, from concentrate, plastic bottle",Beverages,1.63,Data on inputs and outputs of the food processing industry is modelled using: Khanali et al. (2020); FAO (2012).
"Lamb, minced",Meat and poultry,30.4,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
Burger bun,Bread and bakery products,0.94,Data on inputs and outputs of the food processing industry is modelled using: Espinoza-Orias et al. (2011).
Blue cheese,"Milk, dairy products and eggs",2.24,Data on inputs and outputs of the food processing industry is modelled using: Djekic et al. (2014); Nielsen et al. (2003).
Goat cheese,"Milk, dairy products and eggs",2.24,Data on inputs and outputs of the food processing industry is modelled using: Djekic et al. (2014); Nielsen et al. (2003).
"Vegan cheese, grated or sliced",Plant products and drinks,0.92,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020ag); Hetherington et al. (2012).
"Samosa, vegetarian frost",Ready meals,1.27,Data on inputs and outputs of the food processing industry is modelled using: Indian Healthy Recipes (2020); Nemlig (2020i); ADEME (2020c); ADEME (2020j); Carlsson-Kanyama and Faist (2000).
Cold chocolate,Candy and sugar products,5.28,Data on inputs and outputs of the food processing industry is modelled using: Konstantas et al. (2018a).
"Nutella, nut cream",Candy and sugar products,4.83,Data on inputs and outputs of the food processing industry is modelled using: Ferrero (2020a); Miah et al. (2018).
"Smoothie, strawberry/blueberry",Beverages,1.74,"Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020a); Jungbluth (2013)
."
"Pork, meat, average",Meat and poultry,4.7,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.
"Chicken, meat, average",Meat and poultry,3.26,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Pontoppidan and Hansen (2000); Nielsen et al. (2003).
"Beef, meat, average",Meat and poultry,61.04,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); European Commission (2018).
