heading,short number, Simapro group,Unit,Process,Total eco-cost (euro),kgCO2e,,,
chemicals,A.030.10.108,"Materials, chemicals, inorganic ",kg ,Hydrogen Sulfide,0.154950726,1.030352707,,,
chemicals,A.030.10.109,"Materials, chemicals, inorganic ",kg ,"KOH, Potassium hydroxide",0.312008473,1.91043797,,,
chemicals,A.030.10.110,"Materials, chemicals, inorganic ",kg ,Lime,0.138599455,0.68097088,,,
chemicals,A.030.10.111,"Materials, chemicals, inorganic ",kg ,Manganese dioxide,0.613251166,0.92115188,,,
chemicals,A.030.10.112,"Materials, chemicals, inorganic ",kg ,Nickel in FerroNickel (27%),22.27555336,50.85959549,,,
chemicals,A.030.10.113,"Materials, chemicals, inorganic ",kg ,Nickel in Nickel Sufate (22%) for car batteries,41.65491077,27.73929474,,,
chemicals,A.030.10.114,"Materials, chemicals, inorganic ",kg ,Quicklime,0.523838924,2.833889925,,,
chemicals,A.030.10.115,"Materials, chemicals, inorganic ",kg ,Silicagel,0.582520557,3.895217895,,,
chemicals,A.030.10.116,"Materials, chemicals, inorganic ",kg ,"Sodium Carbonate  (soda, Na2CO3)",0.259195225,1.285093308,,,
chemicals,A.030.10.117,"Materials, chemicals, inorganic ",kg ,Sodium Chloride (US),0.03356562,0.181792053,,,
chemicals,A.030.10.118,"Materials, chemicals, inorganic ",kg ,"Sodium Chloride, NaCl (plasticseurope)",0.021261821,0.067669173,,,
chemicals,A.030.10.119,"Materials, chemicals, inorganic ",kg ,Sodium Chlorite,0.021763827,0.067669173,,,
chemicals,A.030.10.120,"Materials, chemicals, inorganic ",kg ,Sodium Cumenesulphonate,1.551917513,2.493365639,,,
chemicals,A.030.10.121,"Materials, chemicals, inorganic ",kg ,Sodium Hydroxide (US 2011),0.149518186,0.831874737,,,
chemicals,A.030.10.122,"Materials, chemicals, inorganic ",kg ,"Sodium Hydroxide, NaOH (European Chlor-Alkali Industry 2022)",0.153362534,0.733082707,,,
chemicals,A.030.10.123,"Materials, chemicals, inorganic ",kg ,"Sodium Hydroxide, NaOH (Plasticseurope 2013)",0.176129938,0.969924812,,,
chemicals,A.030.10.124,"Materials, chemicals, inorganic ",kg ,"Sodium Hydroxide, NaOH (average of USLCI, Plasticseurope, EU Chlor-Alkali ind.)",0.15967022,0.844960752,,,
chemicals,A.030.10.125,"Materials, chemicals, inorganic ",kg ,"Sodium Hypochlorite, NaOCl (European Chlor-Alkali Industry 2022)",0.14372706,0.710526316,,,
chemicals,A.030.10.126,"Materials, chemicals, inorganic ",kg ,"Sodium Hypochlorite, NaOCl (Plasticseurope 2013)",0.195719288,1.04887218,,,
chemicals,A.030.10.127,"Materials, chemicals, inorganic ",kg ,Sodium Silicate,0.218999803,1.470192932,,,
chemicals,A.030.10.128,"Materials, chemicals, inorganic ",kg ,Sodium Sulphate,0.582996478,3.898400301,,,
chemicals,A.030.10.129,"Materials, chemicals, inorganic ",kg ,Sulphur,0,0,,,
chemicals,A.030.10.130,"Materials, chemicals, inorganic ",kg ,Titanium dioxide,10.38146128,8.508741353,,,
