_name_key,_unit_key,_factor_key,duplicate_group_rows,duplicate_sources,duplicate_years,duplicate_source_depts,duplicate_group_key
百貨零售服務,每平方米‧每小時,0.05,2,MOENV CFP | Taiwan EPA,2016,太平洋崇光百貨股份有限公司,百貨零售服務 | 每平方米‧每小時 | 0.05
丁二醇,kg,6.29,2,MOENV CFP | Taiwan EPA,2017,經濟部工業局,丁二醇 | kg | 6.29
硫代硫酸鈉(結晶、無水),kg,4.99,2,MOENV CFP | Taiwan EPA,2015,經濟部工業局「103年製造業產品碳足跡輔導與推廣計畫」,硫代硫酸鈉(結晶、無水) | kg | 4.99
丁腈橡膠,kg,3.47,2,MOENV CFP | Taiwan EPA,2014,經濟部工業局,丁腈橡膠 | kg | 3.47
丁腈橡膠手套,雙,0.139,2,MOENV CFP | Taiwan EPA,2017,環境部,丁腈橡膠手套 | 雙 | 0.139
丁酮,kg,3.15,2,MOENV CFP | Taiwan EPA,2013,經濟部工業局,丁酮 | kg | 3.15
七星鱸,kg,4.87,2,MOENV CFP | Taiwan EPA,2015,衛生福利部食品藥物管理署,七星鱸 | kg | 4.87
硫化鈉,kg,2.33,2,MOENV CFP | Taiwan EPA,2018,經濟部工業局,硫化鈉 | kg | 2.33
硫酸酯鹽界面活性劑,kg,1.06,2,MOENV CFP | Taiwan EPA,2023,環境部,硫酸酯鹽界面活性劑 | kg | 1.06
硫酸鈉,kg,0.209,2,MOENV CFP | Taiwan EPA,2018,經濟部工業局,硫酸鈉 | kg | 0.209
不銹鋼冷軋鋼捲（304系列，2B表面）,kg,3.562,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,不銹鋼冷軋鋼捲（304系列，2B表面） | kg | 3.562
飲用水（韓國，2002）,kg,0.000332,2,MOENV CFP | Taiwan EPA,2018,－－－,飲用水（韓國，2002） | kg | 0.000332
不銹鋼焊接管,kg,1.75,2,MOENV CFP | Taiwan EPA,2016,環境部,不銹鋼焊接管 | kg | 1.75
不銹鋼鋼胚,kg,2.831,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,不銹鋼鋼胚 | kg | 2.831
不鏽鋼(電弧爐製程，SS304),kg,2.01,2,MOENV CFP | Taiwan EPA,2013,經濟部工業局,不鏽鋼(電弧爐製程，SS304) | kg | 2.01
不鏽鋼三層牆角架(5327S),kg,7.87,2,MOENV CFP | Taiwan EPA,2015,環境部、朝盟股份有限公司,不鏽鋼三層牆角架(5327S) | kg | 7.87
不鏽鋼冷軋鋼捲,kg,1.46,2,MOENV CFP | Taiwan EPA,2013,環境部,不鏽鋼冷軋鋼捲 | kg | 1.46
不鏽鋼廚用雙層置物架(3230S),kg,10.28,2,MOENV CFP | Taiwan EPA,2015,環境部、朝盟股份有限公司,不鏽鋼廚用雙層置物架(3230S) | kg | 10.28
不鏽鋼掛式砧板刀架(6554S),kg,5.23,2,MOENV CFP | Taiwan EPA,2015,環境部、朝盟股份有限公司,不鏽鋼掛式砧板刀架(6554S) | kg | 5.23
不鏽鋼牆角架(9020S，大),kg,3.33,2,MOENV CFP | Taiwan EPA,2015,環境部、朝盟股份有限公司,不鏽鋼牆角架(9020S，大) | kg | 3.33
不鏽鋼盤元(不含酸洗與退火加工製程),kg,1.42,2,MOENV CFP | Taiwan EPA,2017,環境部,不鏽鋼盤元(不含酸洗與退火加工製程) | kg | 1.42
不鏽鋼盤元(含酸洗與退火加工製程),kg,1.7,2,MOENV CFP | Taiwan EPA,2017,環境部,不鏽鋼盤元(含酸洗與退火加工製程) | kg | 1.7
不鏽鋼置物毛巾架(9310S，單管),kg,7.53,2,MOENV CFP | Taiwan EPA,2015,環境部、朝盟股份有限公司,不鏽鋼置物毛巾架(9310S，單管) | kg | 7.53
食品包裝紙容器,kg,8.24,2,MOENV CFP | Taiwan EPA,2016,環境部,食品包裝紙容器 | kg | 8.24
食品包裝紙容器,m2,0.0965,2,MOENV CFP | Taiwan EPA,2016,環境部,食品包裝紙容器 | m2 | 0.0965
T-12型熱敏CTP版(含顯影劑),m2,8.39,2,MOENV CFP | Taiwan EPA,2014,太普高精密影像股份有限公司,T-12型熱敏CTP版(含顯影劑) | m2 | 8.39
R45水泥混凝土,m3,445.0,2,MOENV CFP | Taiwan EPA,2017,公路總局蘇花公路改善工程處,R45水泥混凝土 | m3 | 445.0
HIPS再生塑膠粒,kg,0.531,2,MOENV CFP | Taiwan EPA,2019,宏盛環保科技股份有限公司,HIPS再生塑膠粒 | kg | 0.531
IEC IE3馬達(AEHF系列，4P20HP ),台,695.0,2,MOENV CFP | Taiwan EPA,2017,東元電機股份有限公司,IEC IE3馬達(AEHF系列，4P20HP ) | 台 | 695.0
L (低碳鋼)級不銹鋼焊接管,kg,7.48,2,MOENV CFP | Taiwan EPA,2016,環境部,L (低碳鋼)級不銹鋼焊接管 | kg | 7.48
LED 路燈(70W),piece,650.0,2,MOENV CFP | Taiwan EPA,2015,堤維西交通工業股份有限公司,LED 路燈(70W) | piece | 650.0
食用醋(酒粕醋),kg,0.68,2,MOENV CFP | Taiwan EPA,2014,衛生福利部食品藥物管理署,食用醋(酒粕醋) | kg | 0.68
食用醋(糯米醋),kg,0.42,2,MOENV CFP | Taiwan EPA,2014,衛生福利部食品藥物管理署,食用醋(糯米醋) | kg | 0.42
食用玉蜀黍,kg,0.29,2,MOENV CFP | Taiwan EPA,2016,環境部,食用玉蜀黍 | kg | 0.29
食用烤酥油,kg,3.75,2,MOENV CFP | Taiwan EPA,2019,衛生福利部食品藥物管理署,食用烤酥油 | kg | 3.75
OPP膠帶,m2,0.385,2,MOENV CFP | Taiwan EPA,2016,地球綜合工業股份有限公司,OPP膠帶 | m2 | 0.385
OPP膠帶,卷,0.648,2,MOENV CFP | Taiwan EPA,2016,地球綜合工業股份有限公司,OPP膠帶 | 卷 | 0.648
OPP膠帶(0.043mm*48mm*80M),卷,0.97,2,MOENV CFP | Taiwan EPA,2020,地球綜合工業股份有限公司,OPP膠帶(0.043mm*48mm*80M) | 卷 | 0.97
OPP膠帶(0.04mm*48mm*35M),卷,0.52,2,MOENV CFP | Taiwan EPA,2020,地球綜合工業股份有限公司,OPP膠帶(0.04mm*48mm*35M) | 卷 | 0.52
PET隔熱膜(2017),m2,17.1,2,MOENV CFP | Taiwan EPA,2022,環境部,PET隔熱膜(2017) | m2 | 17.1
PET隔熱膜(2019),m2,9.76,2,MOENV CFP | Taiwan EPA,2022,環境部,PET隔熱膜(2019) | m2 | 9.76
PE瓶蓋,kg,15.0,2,MOENV CFP | Taiwan EPA,2019,環境部,PE瓶蓋 | kg | 15.0
食用大豆油,kg,1.23,2,MOENV CFP | Taiwan EPA,2014,衛生福利部食品藥物管理署,食用大豆油 | kg | 1.23
PLA蛋盤(10盒裝),kg,4.78,2,MOENV CFP | Taiwan EPA,2019,環境部,PLA蛋盤(10盒裝) | kg | 4.78
PP再生塑膠粒,kg,0.524,2,MOENV CFP | Taiwan EPA,2019,宏盛環保科技股份有限公司,PP再生塑膠粒 | kg | 0.524
PVC塑膠管、PVC板,kg,2.4,2,MOENV CFP | Taiwan EPA,2015,環境部,PVC塑膠管、PVC板 | kg | 2.4
PVC膠帶,m2,1.62,2,MOENV CFP | Taiwan EPA,2016,地球綜合工業股份有限公司,PVC膠帶 | m2 | 1.62
PVC膠帶,卷,0.935,2,MOENV CFP | Taiwan EPA,2016,地球綜合工業股份有限公司,PVC膠帶 | 卷 | 0.935
PVC膠帶(0.13mm*18mm*16M),卷,0.28,2,MOENV CFP | Taiwan EPA,2020,地球綜合工業股份有限公司,PVC膠帶(0.13mm*18mm*16M) | 卷 | 0.28
PVC膠帶(0.17mm*48mm*12M),卷,0.78,2,MOENV CFP | Taiwan EPA,2020,地球綜合工業股份有限公司,PVC膠帶(0.17mm*48mm*12M) | 卷 | 0.78
霧峰香米（有機農法）,包,4.159,2,MOENV CFP | Taiwan EPA/MOE,2025,臺中市政府農業局,霧峰香米（有機農法） | 包 | 4.159
預力梁用預拌混凝土(350 kgf/cm2),m3,407.0,2,MOENV CFP | Taiwan EPA,2020,公路總局西部濱海公路南區臨時工程處,預力梁用預拌混凝土(350 kgf/cm2) | m3 | 407.0
霜降豬肉(不帶骨),kg,36.6,2,MOENV CFP | Taiwan EPA,2017,祥圃實業股份有限公司,霜降豬肉(不帶骨) | kg | 36.6
咖啡菇(猴頭菇),盒,0.341,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(猴頭菇) | 盒 | 0.341
合金鋼鋼胚,kg,0.68,2,MOENV CFP | Taiwan EPA,2013,環境部,合金鋼鋼胚 | kg | 0.68
合金鋼鋼胚（機械五金用）,kg,0.5661,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,合金鋼鋼胚（機械五金用） | kg | 0.5661
合金鋼鋼胚（航太與特殊鋼用）,kg,1.042,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,合金鋼鋼胚（航太與特殊鋼用） | kg | 1.042
味噌,kg,1.14,2,MOENV CFP | Taiwan EPA,2017,衛生福利部食品藥物管理署,味噌 | kg | 1.14
咖哩醬,kg,2.0,2,MOENV CFP | Taiwan EPA,2017,衛生福利部食品藥物管理署,咖哩醬 | kg | 2.0
咖啡菇,盒,0.3,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇 | 盒 | 0.3
咖啡菇(冬雪菇),盒,0.286,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(冬雪菇) | 盒 | 0.286
咖啡菇(夏雪菇),盒,0.287,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(夏雪菇) | 盒 | 0.287
咖啡菇(斤耳),盒,0.278,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(斤耳) | 盒 | 0.278
咖啡菇(杏鮑菇),盒,0.339,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(杏鮑菇) | 盒 | 0.339
咖啡菇(柳松菇),盒,0.322,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(柳松菇) | 盒 | 0.322
咖啡菇(珊瑚菇),盒,0.282,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(珊瑚菇) | 盒 | 0.282
門窗鋁框,m2,14.4,2,MOENV CFP | Taiwan EPA,2015,環境部,門窗鋁框 | m2 | 14.4
咖啡菇(秀珍菇),盒,0.288,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(秀珍菇) | 盒 | 0.288
咖啡菇(豬肚菇),盒,0.309,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(豬肚菇) | 盒 | 0.309
咖啡菇(鮑魚菇),盒,0.32,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(鮑魚菇) | 盒 | 0.32
咖啡菇(黑木耳),盒,0.279,2,MOENV CFP | Taiwan EPA,2017,國立曾文高級農工職業學校、臺南市政府環境保護局,咖啡菇(黑木耳) | 盒 | 0.279
陽極磷銅(印刷電路板用),kg,4.67,2,MOENV CFP | Taiwan EPA,2013,經濟部工業局,陽極磷銅(印刷電路板用) | kg | 4.67
陰離子性有機界面活性劑,kg,2.84,2,MOENV CFP | Taiwan EPA,2014,經濟部工業局,陰離子性有機界面活性劑 | kg | 2.84
闊葉樹漂白硫酸鹽紙漿,kg,3.699,2,MOENV CFP | Taiwan EPA,2014,環境部,闊葉樹漂白硫酸鹽紙漿 | kg | 3.699
單層瓦楞紙箱(A楞，貼箱),m2,1.11,2,MOENV CFP | Taiwan EPA,2023,環境部,單層瓦楞紙箱(A楞，貼箱) | m2 | 1.11
