category,code,name,is_fixed_asset,ghg_category,description
機械及設備,,檢驗設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,流量量測設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,洩漏偵測器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,測溫取樣設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,10,公用設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,不斷電供應器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,氧氣供應設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,氧氣壓縮機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,汽化系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,油壓設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,沼氣防爆系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,消音器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,液壓系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,淨油機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,清洗設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,主空氣系統閥,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,潤滑系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,煤粉增壓吹射系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,熱交換器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,燃油泵,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,爐門修護機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,爐頂壓發電設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,真空泵系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,空氣加熱器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,功因改善設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,空氣壓縮器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,軋延油系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,輔助油壓系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,輸配電設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,送風機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,透平機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鐵件分離器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鐵渣清除設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,降壓設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,離心機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,加油脂系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,電池組,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,動力供給系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,墊料系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,廢氣噴水系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,排水系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,旋轉閥,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,11,集塵及排氣設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,保護性氣體生產設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,排氣機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,次集塵設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,氣壓系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,氣密風扇,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,氣體儲槽,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,氣體發生系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,水清洗系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,焦爐氣壓縮機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,煤粉收集器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,燃燒空氣設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,冷卻風車,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,燃燒空氣風扇,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,爐氣清淨設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,煙囪,True,2,機械設備通常為固定資產，屬於 Category 2
