Record ID,原始採購／標案名稱,標準品名候選,官方財物次分類,產業分類候選,採購品類候選,Scope 3候選,採購機關,公開案號,公開日期,決標金額(元),官方回查網址,來源紀錄ID,資料狀態,人工覆核註記
RP-0257,2歲專班教室設備採購,2歲專班教室設備採購,"木製品,軟木製品,草及編結材料產品",其他產業,其他財物,範疇3 類別1,臺中市立梧棲幼兒園,1130605,2024-07-01,312887,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616262.xml,BDM-1-70616262,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0258,泰源國中--113年暑假7、8月學生宿舍三餐伙食食材採購案,泰源國中--113年暑假7、8月學生宿舍三餐伙食食材,"肉類,魚,果實,蔬菜,及油脂",食品農產,食品／農產,範疇3 類別1,臺東縣政府,113201120148,2024-07-01,252560,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616270.xml,BDM-1-70616270,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0259,臺北市立仁愛國⺠中學113學年度學校午餐外訂桶餐盒餐採購案,臺北市立仁愛國⺠中學113學年度學校午餐外訂桶餐盒餐,"肉類,魚,果實,蔬菜,及油脂",食品農產,食品／農產,範疇3 類別1,臺北市立仁愛國民中學,A11304,2024-07-01,28050000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616272.xml,BDM-1-70616272,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0260,114年林一機GGH加熱元件大修用料採購一批,114年林一機GGH加熱元件大修用料採購,"電力,瓦斯,蒸氣及熱水",電機電控,電力設備／電材,範疇3 類別1,台灣電力股份有限公司林口發電廠,3201300063,2024-07-01,248850000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616280.xml,BDM-1-70616280,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0261,113學年度學生午餐蔬菜食材供應採購,113學年度學生午餐蔬菜食材供應採購,"肉類,魚,果實,蔬菜,及油脂",食品農產,食品／農產,範疇3 類別1,臺中市潭子區頭家國民小學,112010,2024-07-01,5500000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616281.xml,BDM-1-70616281,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0262,113學年度學生午餐水產食材供應採購,113學年度學生午餐水產食材供應採購,"肉類,魚,果實,蔬菜,及油脂",食品農產,食品／農產,範疇3 類別1,臺中市潭子區頭家國民小學,112012,2024-07-01,2000000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616282.xml,BDM-1-70616282,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0263,113學年度學生午餐水果食材供應採購,113學年度學生午餐水果食材供應採購,"肉類,魚,果實,蔬菜,及油脂",食品農產,食品／農產,範疇3 類別1,臺中市潭子區頭家國民小學,112009,2024-07-01,2000000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616283.xml,BDM-1-70616283,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0264,113年度深耕基層棒球扎根運動器材採購案,113年度深耕基層棒球扎根運動器材,運動商品,其他產業,其他財物,範疇3 類別1,新北市立秀峰高級中學,1130509,2024-07-01,522920,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616286.xml,BDM-1-70616286,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0265,113年正壓風機保養維修用零組件等一批,113年正壓風機保養維修用零組件等,"幫浦,壓縮機,液壓與氣動引擎,閥門及其零件",機械設備,機械／零組件,範疇3 類別1,台灣電力股份有限公司林口發電廠,3201300076,2024-07-01,16600000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616301.xml,BDM-1-70616301,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0266,環境部資源循環署潮州大樓房屋租賃,環境部資源循環署潮州大樓房屋租賃,建地及相關土地,其他產業,其他財物,範疇3 類別1,環境部資源循環署,113CD018,2024-07-01,81000000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616305.xml,BDM-1-70616305,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
